
TracePro Release: 7 3 4 
Incident Ray Table for 

Linear Units in millimeters
Data for screen Surface 1
Data generated at 14:01:33 October 07, 2025

Ray     	Start   	Split   
Number  	Number  	Number  	Type        	Hist        	Inc Flux      	Abso Flux     	X Pos.        	Y Pos.        	Z Pos.        	X Vec.        	Y Vec.        	Z Vec.        	X Norm        	Y Norm        	Z Norm        	S0            	S1            	S2            	S3            	DegOfPol      	ElliRatio     	X MajAxis     	Y MajAxis     	Z MajAxis     	
Wavelength = 0.5 (Source: mysource)
      70	      70	       5	    SpecTran	      NoInfo	      0.164855	      0.164855	      -3.61468	       4.57369	      0.724374	      -0.68724	      0.721121	     0.0876682	      0.788011	     -0.615661	             0	      0.164855	             0	             0	             0	             0	             0	             0	             0	             0	
      71	      71	       5	    SpecTran	      NoInfo	      0.855806	      0.855806	      -4.25919	       3.74875	     -0.720132	     -0.791409	      0.606549	    -0.0759604	      0.788011	     -0.615661	             0	      0.855806	             0	             0	             0	             0	             0	             0	             0	             0	
      72	      72	       5	    SpecTran	      NoInfo	      0.261819	      0.261819	      -3.63814	       4.54366	       1.05646	     -0.709862	      0.694164	        0.1193	      0.788011	     -0.615661	             0	      0.261819	             0	             0	             0	             0	             0	             0	             0	             0	
      73	      73	       5	    SpecTran	      NoInfo	      0.855697	      0.855697	      -4.00422	        4.0751	      -1.94147	     -0.743426	      0.633423	     -0.214693	      0.788011	     -0.615661	             0	      0.855697	             0	             0	             0	             0	             0	             0	             0	             0	
      74	      74	       5	    SpecTran	      NoInfo	       0.85581	       0.85581	      -4.37205	       3.60429	      0.355241	     -0.802443	      0.596226	     0.0244877	      0.788011	     -0.615661	             0	       0.85581	             0	             0	             0	             0	             0	             0	             0	             0	
      75	      75	       5	    SpecTran	      NoInfo	      0.855791	      0.855791	       -4.8315	       3.01623	      0.282349	     -0.855941	      0.514438	     0.0521435	      0.788011	     -0.615661	             0	      0.855791	             0	             0	             0	             0	             0	             0	             0	             0	
      76	      76	       5	    SpecTran	      NoInfo	      0.855667	      0.855667	      -4.31659	       3.67528	       1.95656	     -0.762405	      0.603823	      0.232671	      0.788011	     -0.615661	             0	      0.855667	             0	             0	             0	             0	             0	             0	             0	             0	
      77	      77	       5	    SpecTran	      NoInfo	      0.855684	      0.855684	      -3.84123	       4.28372	      -1.78219	     -0.721888	      0.658732	     -0.212014	      0.788011	     -0.615661	             0	      0.855684	             0	             0	             0	             0	             0	             0	             0	             0	
      78	      78	       5	    SpecTran	      NoInfo	     0.0797701	     0.0797701	      -3.09111	       5.24382	       0.53346	      -0.62329	      0.780137	     0.0538072	      0.788011	     -0.615661	             0	     0.0797701	             0	             0	             0	             0	             0	             0	             0	             0	
      79	      79	       5	    SpecTran	      NoInfo	      0.475686	      0.475686	      -3.88789	       4.22399	      -1.61868	     -0.713568	      0.669302	     -0.207015	      0.788011	     -0.615661	             0	      0.475686	             0	             0	             0	             0	             0	             0	             0	             0	
      80	      80	       5	    SpecTran	      NoInfo	       0.85581	       0.85581	      -4.27399	       3.72981	     -0.260406	     -0.794234	      0.606613	     -0.034826	      0.788011	     -0.615661	             0	       0.85581	             0	             0	             0	             0	             0	             0	             0	             0	
